Feature,Abs_Correlation,Correlation
ip_int,,
user_total_transactions,,
transaction_velocity,0.7137598348531593,0.7137598348531593
unique_users_per_device,0.6708372831841083,0.6708372831841083
unique_users_per_ip,0.658624821662526,0.658624821662526
purchase_month,0.3101122326150814,-0.3101122326150814
time_since_signup,0.2578878676237363,-0.2578878676237363
country_fraud_rate,,
browser_source_fraud_rate,0.03341119157710977,0.03341119157710977
source_fraud_rate,0.020727666162226373,0.020727666162226373
purchase_dayofweek,0.018939361264731693,0.018939361264731693
browser_fraud_rate,0.017171427763370363,0.017171427763370363
is_weekend,0.014139066579042549,0.014139066579042549
is_business_hours,0.011177571606120667,0.011177571606120667
age,0.006623570733961868,0.006623570733961868
ip_address,0.00520770246374315,-0.00520770246374315
signup_hour,0.004168679446366744,0.004168679446366744
purchase_hour,0.0019549900438119165,0.0019549900438119165
user_id,0.0019448089486209447,0.0019448089486209447
user_purchase_max,0.0010110350071608346,0.0010110350071608346
user_purchase_min,0.0010110350071608346,0.0010110350071608346
purchase_value,0.0010110350071608277,0.0010110350071608277
user_purchase_mean,0.0010110350071608277,0.0010110350071608277
